run_id,name,family,backbone,total_params,trainable_params,pct_trainable,backbone_params,mceam_params,head_params,,,,,
A01,dinov2,dino,dinov2,99077442,12496962,12.61,86580480,12414465,82497,,,,,not for paper
A02,no_context,dino,dinov3,85941313,280897,0.33,85660416,0,82497,,,,,
A03,roi_scale,dino,dinov3,89687106,4026690,4.49,85660416,3944193,82497,,,,,
A04,depth2,dino,dinov3,105253698,19593282,18.62,85660416,19510785,82497,,,,,
A05,depth4,dino,dinov3,119446338,33785922,28.29,85660416,33703425,82497,,,,,
A06,flat_softmax,dino,dinov3,98157378,12496962,12.73,85660416,12414465,82497,,,,,
A07,balanced_sampler,dino,dinov3,98157378,12496962,12.73,85660416,12414465,82497,,,,,
A08,plain_ce,dino,dinov3,98157378,12496962,12.73,85660416,12414465,82497,,,,,
A09,unfreeze2,dino,dinov3,98157378,26675778,27.18,85660416,12414465,82497,,,,,
A10,unfreeze4,dino,dinov3,98157378,40853058,41.62,85660416,12414465,82497,,,,,
A11,unfreeze_all,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
A12,unfreeze_all_lr5,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
A13,flat_softmax_unfrozen,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
A14,plain_ce_unfrozen,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
A15,hslm_ce_unfrozen,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
A16,dinov2_unfrozen,dino,dinov2,99077442,99077442,100,86580480,12414465,82497,,,,,
C01,linear_probe,dino,dinov3,85907265,246849,0.29,85660416,0,246849,,,,,
C03,resnet50,timm,dinov3,24165761,24165761,100,24165761,,,,,,,
C04,efficientnetv2_s,timm,dinov3,20588689,20588689,100,20588689,,,,,,,
C05,convnext_tiny,timm,dinov3,28066977,28066977,100,28066977,,,,,,,
C06,vit_base,timm,dinov3,86045505,86045505,100,86045505,,,,,,,
C07,swin_base,timm,dinov3,87072249,87072249,100,87072249,,,,,,,
C08,matanet,matanet,dinov2-large x4,1347468072,1347468072,100,1217474560,113405952,16587560,,,,,
C09,proposed,dino,dinov3,98157378,12496962,12.73,85660416,12414465,82497,,,,,
D1,deploy_cbfocal,dino,dinov2,120366402,120366402,100,86580480,33703425,82497,,,,,
D2,deploy_ce,dino,dinov2,120366402,120366402,100,86580480,33703425,82497,,,,,
D3,a15_dinov3_large,dino,dinov3_large,325007170,325007170,100,303129600,21795073,82497,,,,,
D3a,a15_dinov3_large_lr5e6,dino,dinov3_large,325007170,325007170,100,303129600,21795073,82497,,,,,
D3b,a15_dinov3_large_lr2e6,dino,dinov3_large,325007170,325007170,100,303129600,21795073,82497,,,,,
D4,a15_llrd,dino,dinov3,98157378,98157378,100,85660416,12414465,82497,,,,,
D5,dinov3_large_llrd,dino,dinov3_large,325007170,325007170,100,303129600,21795073,82497,,,,,
D6,a15_dinov3_huge,dino,dinov3_huge,874472258,874472258,100,840592640,33797121,82497,,,,,
D6a,dinov3_huge_lr2p5e6,dino,dinov3_huge,874472258,874472258,100,840592640,33797121,82497,,,,,
D7,dinov3_large_cbfocal,dino,dinov3_large,325007170,325007170,100,303129600,21795073,82497,,,,,
D8,dinov3_huge_cbfocal,dino,dinov3_huge,874472258,874472258,100,840592640,33797121,82497,,,,,
D8a,dinov3_huge_cbfocal_lr2p5e6,dino,dinov3_huge,874472258,874472258,100,840592640,33797121,82497,,,,,
