uid,file_name,x0,y0,x1,y1,family,genus,species
1,A000001_L.avi.5107.png,806,371,922,448,Scaridae,Chlorurus,capistratoides
2,A000001_R.avi.4902.png,1388,355,1508,435,Scaridae,Chlorurus,capistratoides
3,A000001_L.avi.5174.png,912,280,994,335,Scaridae,Chlorurus,capistratoides
4,A000001_R.avi.4969.png,1600,255,1682,310,Scaridae,Chlorurus,capistratoides
5,A000001_L.avi.5194.png,811,472,979,584,Acanthuridae,Acanthurus,leucocheilus
6,A000001_R.avi.4989.png,1220,460,1392,575,Acanthuridae,Acanthurus,leucocheilus
7,A000001_L.avi.5401.png,1286,592,1350,639,Pomacentridae,Dascyllus,reticulatus
8,A000001_R.avi.5196.png,1515,599,1581,649,Pomacentridae,Dascyllus,reticulatus
9,A000001_L.avi.5401.png,1062,992,1126,1039,Pomacentridae,Dascyllus,reticulatus
10,A000001_R.avi.5196.png,1207,1008,1277,1055,Pomacentridae,Dascyllus,reticulatus
11,A000001_L.avi.5422.png,1062,786,1134,834,Pomacentridae,Dascyllus,reticulatus
12,A000001_R.avi.5217.png,1334,796,1401,840,Pomacentridae,Dascyllus,reticulatus
14,A000001_R.avi.5226.png,1740,545,1813,594,Pomacentridae,Dascyllus,reticulatus
15,A000001_L.avi.5546.png,912,905,982,952,Pomacentridae,Dascyllus,reticulatus
16,A000001_R.avi.5341.png,1229,908,1305,959,Pomacentridae,Dascyllus,reticulatus
17,A000001_L.avi.5546.png,861,926,917,981,Pomacentridae,Dascyllus,reticulatus
18,A000001_R.avi.5341.png,1145,925,1210,973,Pomacentridae,Dascyllus,reticulatus
19,A000001_L.avi.5573.png,848,383,992,479,Labridae,Hemigymnus,fasciatus
20,A000001_R.avi.5368.png,1425,366,1583,471,Labridae,Hemigymnus,fasciatus
21,A000001_L.avi.5584.png,792,983,859,1039,Pomacentridae,Dascyllus,reticulatus
22,A000001_R.avi.5379.png,1102,972,1169,1027,Pomacentridae,Dascyllus,reticulatus
23,A000001_L.avi.5594.png,1481,532,1549,581,Pomacentridae,Dascyllus,reticulatus
