epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1011.11,1.40921,4.60229,1.28246,0.44578,0.06403,0.05013,0.03824,1.07352,3.31335,1.13109,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136
2,1832.63,1.30178,3.51135,1.21437,0.43051,0.05747,0.04301,0.03155,1.2367,3.41681,1.25696,0.0197962,0.00659872,0.0197962,0.00659872,0.0197962,0.00659872,0.0197962,0.00659872
3,2571.59,1.35786,3.51705,1.27425,0.49394,0.04943,0.03972,0.02983,1.22546,3.48262,1.26378,0.0294002,0.00980007,0.0294002,0.00980007,0.0294002,0.00980007,0.0294002,0.00980007
4,3316.76,1.33441,3.45812,1.27705,0.48216,0.08675,0.07087,0.05402,1.10318,3.07801,1.186,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4049.96,1.21927,3.14441,1.21256,0.44098,0.12898,0.1076,0.08335,0.9954,2.80419,1.13078,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4763.15,1.15162,2.91439,1.17562,0.45658,0.14653,0.13984,0.11092,0.94217,2.66163,1.09317,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5526.79,1.10169,2.792,1.15283,0.47524,0.1699,0.15549,0.12348,0.90254,2.55969,1.07603,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6285.51,1.07789,2.71296,1.13971,0.45637,0.20305,0.18248,0.1487,0.86261,2.44628,1.06003,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7009.7,1.04495,2.58227,1.1193,0.40644,0.23582,0.20677,0.16907,0.84156,2.40125,1.04325,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7733.17,1.02843,2.54415,1.10871,0.43654,0.25803,0.2235,0.18441,0.82221,2.32718,1.03249,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8479.17,1.00219,2.45372,1.09638,0.42318,0.2508,0.22681,0.18744,0.80266,2.28667,1.02046,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9196.34,0.9955,2.42796,1.0947,0.46254,0.26396,0.23777,0.19909,0.796,2.21629,1.02145,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9929.25,0.97489,2.36652,1.08396,0.45968,0.28013,0.2531,0.20975,0.77861,2.18212,1.00742,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,10640.9,0.96149,2.32621,1.07837,0.43921,0.29128,0.27247,0.22655,0.77223,2.12698,1.00443,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,11360.4,0.95621,2.28898,1.07242,0.44267,0.30001,0.27915,0.23228,0.75415,2.08649,0.99717,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,12069.9,0.94457,2.25117,1.06643,0.43049,0.31487,0.28771,0.24112,0.74612,2.05823,0.99388,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,12791.5,0.93187,2.20321,1.06386,0.40534,0.32287,0.30046,0.24798,0.73828,2.03745,0.98937,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,13507.9,0.93656,2.19919,1.06635,0.44315,0.33703,0.31423,0.25993,0.73097,2.00432,0.98437,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
